document_id,document_type,source_template,vendor_name,vendor_address,vendor_email,vendor_phone,customer_name,customer_address,invoice_number,invoice_date,due_date,currency,purchase_order,subtotal,tax_rate,tax_amount,discount,shipping,total_amount,payment_terms,notes,expected_text,merchant_name,merchant_address,merchant_phone,receipt_number,transaction_date,transaction_time,payment_method,last_four_digits,cashier
INV-0001,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 100 2000,Tracy Hayes,"797 Gallagher Creek, Crosston",NS-2025-10000,2025-01-24,2025-02-07,USD,,380.76,8.25,31.41,5.0,0.0,412.17,Net 30,,"Northstar Paper Co.
Number: NS-2025-10000
Herbal tea 2 34.94 69.88
Cleaning cloths 4 43.73 174.92
Recycled notebooks 4 35.24 140.96
Subtotal: 380.76
Tax: 31.41
Total: 412.17",,,,,,,,,
INV-0002,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 101 2001,David Rodriguez,"81445 Alvin Canyon, Amandahaven",NS-2025-10001,2025-04-25,2025-06-09,USD,PO-231830,71.74,5.0,3.59,0.0,12.0,75.33,Net 30,Thank you for your business.,"Juniper Office Works
Number: NS-2025-10001
Cable clips 2 2.74 5.48
Gel pen set 1 16.94 16.94
Recycled notebooks 3 10.86 32.58
Cleaning cloths 1 4.74 4.74
Subtotal: 71.74
Tax: 3.59
Total: 75.33",,,,,,,,,
INV-0003,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 102 2002,Courtney Wagner,"9692 Sosa Route, Davidsonstad",NS-2025-10002,2025-07-25,2025-08-24,USD,PO-458942,727.13,8.25,59.99,0.0,0.0,787.12,Net 30,,"Blue Finch Supplies
Number: NS-2025-10002
Canvas tote 1 53.52 53.52
USB adapter 4 38.06 152.24
Coffee beans 3 56.38 169.14
Desk organizer 3 54.61 163.83
Gel pen set 4 47.10 188.40
Subtotal: 727.13
Tax: 59.99
Total: 787.12",,,,,,,,,
INV-0004,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 103 2003,Heather Garrett,"117 Chang Junctions Suite 390, New Taylor",NS-2025-10003,2025-02-03,2025-03-20,USD,,598.08,5.0,29.9,5.0,12.0,627.98,Net 30,Thank you for your business.,"Copper & Pine Studio
Number: NS-2025-10003
Cleaning cloths 2 30.95 61.90
Cable clips 4 52.48 209.92
Canvas tote 3 49.32 147.96
Archive folders 3 57.10 171.30
Subtotal: 598.08
Tax: 29.90
Total: 627.98",,,,,,,,,
INV-0005,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 104 2004,Melissa Carter,"48862 Jillian Skyway Apt. 953, East Stephenchester",NS-2025-10004,2025-05-08,2025-06-22,USD,PO-907583,251.78,5.0,12.59,0.0,12.0,264.37,Net 30,,"Maple Circuit Goods
Number: NS-2025-10004
USB adapter 2 49.22 98.44
Archive folders 2 27.92 55.84
Canvas tote 4 7.55 30.20
Shipping labels 2 27.65 55.30
Subtotal: 251.78
Tax: 12.59
Total: 264.37",,,,,,,,,
INV-0006,invoice,invoice_1,Northstar Paper Co.,"18 Willow Loop, Alder Bay, OR 97001",billing@northstarpaperco.example,+1 555 105 2005,Ryan Webster,"62320 Boone Pine Suite 531, East Kevin",NS-2025-10005,2025-10-01,2025-11-15,USD,PO-257723,270.68,5.0,13.53,0.0,8.5,284.21,Net 30,Thank you for your business.,"Northstar Paper Co.
Number: NS-2025-10005
Archive folders 4 23.00 92.00
Shipping labels 1 12.92 12.92
Herbal tea 3 52.42 157.26
Subtotal: 270.68
Tax: 13.53
Total: 284.21",,,,,,,,,
INV-0007,invoice,invoice_2,Juniper Office Works,"72 Cedar Walk, Lumen City, CO 80014",billing@juniperofficeworks.example,+1 555 106 2006,Mitchell Bell,"829 Joseph Trafficway, Jerryton",NS-2025-10006,2025-05-05,2025-05-19,USD,,121.22,8.25,10.0,5.0,12.0,131.22,Net 30,,"Juniper Office Works
Number: NS-2025-10006
Gel pen set 2 32.11 64.22
Desk organizer 1 23.80 23.80
Shipping labels 2 13.10 26.20
Subtotal: 121.22
Tax: 10.00
Total: 131.22",,,,,,,,,
INV-0008,invoice,invoice_3,Blue Finch Supplies,"409 Harbor Lane, Fairhaven, ME 04032",billing@bluefinchsupplies.example,+1 555 107 2007,Leonard Hood,"95673 Matthew Key, Michelefurt",NS-2025-10007,2025-09-09,2025-10-24,USD,PO-106813,395.96,7.5,29.7,0.0,8.5,425.66,Net 30,Thank you for your business.,"Blue Finch Supplies
Number: NS-2025-10007
Shipping labels 2 52.20 104.40
Cleaning cloths 3 5.89 17.67
Herbal tea 3 18.41 55.23
Coffee beans 4 52.54 210.16
Subtotal: 395.96
Tax: 29.70
Total: 425.66",,,,,,,,,
INV-0009,invoice,invoice_4,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",billing@copper-pinestudio.example,+1 555 108 2008,Taylor Brown,"5683 Cunningham Overpass Apt. 557, Lake Christopherfort",NS-2025-10008,2025-04-18,2025-05-02,USD,PO-976874,249.16,7.5,18.69,0.0,4.95,267.85,Net 30,,"Copper & Pine Studio
Number: NS-2025-10008
USB adapter 1 2.91 2.91
Shipping labels 3 50.75 152.25
Herbal tea 3 9.53 28.59
Archive folders 2 30.23 60.46
Subtotal: 249.16
Tax: 18.69
Total: 267.85",,,,,,,,,
INV-0010,invoice,invoice_5,Maple Circuit Goods,"260 Grove Avenue, Westvale, NY 10018",billing@maplecircuitgoods.example,+1 555 109 2009,Daniel Brooks,"6812 Clark Villages, Youngfort",NS-2025-10009,2025-05-29,2025-06-12,USD,,539.29,0.0,0.0,10.0,8.5,539.29,Net 30,Thank you for your business.,"Maple Circuit Goods
Number: NS-2025-10009
Cable clips 1 13.54 13.54
Herbal tea 4 45.48 181.92
USB adapter 4 31.94 127.76
Recycled notebooks 3 33.03 99.09
Granola cup 4 29.62 118.48
Subtotal: 539.29
Tax: 0.00
Total: 539.29",,,,,,,,,
