document_id,variant_id,document_type,template,format,quality_condition,field,expected_value,predicted_value,error_category,confidence,validation_warnings
INV-0002,INV-0002-image_jpg,invoice,invoice_2,jpg,mild_shadow,customer_name,David Rodriguez,David Rodriguez Date:2025-04-25,OCR character error,0.9389,LINE_ITEM_SUM_MISMATCH
INV-0002,INV-0002-image_jpg,invoice,invoice_2,jpg,mild_shadow,customer_address,"81445 Alvin Canyon, Amandahaven","81445 Alvin Canyon, Amandahaven Due:2025-06-09",OCR character error,0.9389,LINE_ITEM_SUM_MISMATCH
INV-0004,INV-0004-image_jpg,invoice,invoice_4,jpg,light_noise,vendor_name,Copper & Pine Studio,Copper &PineStudio,OCR character error,0.9439,LINE_ITEM_SUM_MISMATCH
INV-0004,INV-0004-image_jpg,invoice,invoice_4,jpg,light_noise,vendor_address,"11 Quartz Street, Bellmere, AZ 85004","11QuartzStreet,Bellmere,AZ85004",OCR character error,0.9439,LINE_ITEM_SUM_MISMATCH
INV-0004,INV-0004-image_jpg,invoice,invoice_4,jpg,light_noise,customer_name,Heather Garrett,HeatherGarrett Date:2025-02-03,OCR character error,0.9439,LINE_ITEM_SUM_MISMATCH
INV-0004,INV-0004-image_jpg,invoice,invoice_4,jpg,light_noise,customer_address,"117 Chang Junctions Suite 390, New Taylor","117ChangJunctionsSuite390,NewTaylor Due:2025-03-20",OCR character error,0.9439,LINE_ITEM_SUM_MISMATCH
INV-0008,INV-0008-image_jpg,invoice,invoice_3,jpg,mild_blur,vendor_name,Blue Finch Supplies,BlueFinchSupplies,OCR character error,0.9302,LINE_ITEM_SUM_MISMATCH
INV-0008,INV-0008-image_jpg,invoice,invoice_3,jpg,mild_blur,vendor_address,"409 Harbor Lane, Fairhaven, ME 04032","409HarborLane,Fairhaven,ME04032",OCR character error,0.9302,LINE_ITEM_SUM_MISMATCH
INV-0008,INV-0008-image_jpg,invoice,invoice_3,jpg,mild_blur,customer_name,Leonard Hood,,label not detected,0.9302,LINE_ITEM_SUM_MISMATCH
INV-0008,INV-0008-image_jpg,invoice,invoice_3,jpg,mild_blur,customer_address,"95673 Matthew Key, Michelefurt",,label not detected,0.9302,LINE_ITEM_SUM_MISMATCH
INV-0011,INV-0011-image_jpg,invoice,invoice_1,jpg,light_noise,vendor_address,"18 Willow Loop, Alder Bay, OR 97001","18WillowLoop,AlderBay,OR97001",OCR character error,0.943,LINE_ITEM_SUM_MISMATCH
INV-0011,INV-0011-image_jpg,invoice,invoice_1,jpg,light_noise,customer_name,Mr. Joshua Boyle,Mr.Joshua Boyle Date:2025-11-08,OCR character error,0.943,LINE_ITEM_SUM_MISMATCH
INV-0011,INV-0011-image_jpg,invoice,invoice_1,jpg,light_noise,customer_address,"96378 Pierce Parkway, Burnsmouth","96378PierceParkway,Burnsmouth Due:2025-12-23",OCR character error,0.943,LINE_ITEM_SUM_MISMATCH
INV-0011,INV-0011-image_jpg,invoice,invoice_1,jpg,light_noise,line_items,3,2,row grouping,0.943,LINE_ITEM_SUM_MISMATCH
INV-0013,INV-0013-image_jpg,invoice,invoice_3,jpg,lower_contrast,vendor_address,"409 Harbor Lane, Fairhaven, ME 04032","409HarborLane,Fairhaven,ME04032",OCR character error,0.9288,LINE_ITEM_SUM_MISMATCH
INV-0013,INV-0013-image_jpg,invoice,invoice_3,jpg,lower_contrast,customer_name,Tiffany Burton,,label not detected,0.9288,LINE_ITEM_SUM_MISMATCH
INV-0013,INV-0013-image_jpg,invoice,invoice_3,jpg,lower_contrast,customer_address,"9576 Bradford Squares, Mckinneyborough",,label not detected,0.9288,LINE_ITEM_SUM_MISMATCH
INV-0015,INV-0015-image_jpg,invoice,invoice_5,jpg,mild_blur,vendor_address,"260 Grove Avenue, Westvale, NY 10018","260GroveAvenue,Westvale,NY10018",OCR character error,0.9298,LINE_ITEM_SUM_MISMATCH
INV-0015,INV-0015-image_jpg,invoice,invoice_5,jpg,mild_blur,customer_name,Kari Soto,,label not detected,0.9298,LINE_ITEM_SUM_MISMATCH
INV-0015,INV-0015-image_jpg,invoice,invoice_5,jpg,mild_blur,customer_address,"74704 Stanley Trace Suite 038, Lake Thomasfurt",,label not detected,0.9298,LINE_ITEM_SUM_MISMATCH
INV-0015,INV-0015-image_jpg,invoice,invoice_5,jpg,mild_blur,line_items,5,4,row grouping,0.9298,LINE_ITEM_SUM_MISMATCH
INV-0027,INV-0027-image_jpg,invoice,invoice_2,jpg,lower_contrast,vendor_name,Juniper Office Works,JuniperOfficeWorks,OCR character error,0.9295,LINE_ITEM_SUM_MISMATCH
INV-0027,INV-0027-image_jpg,invoice,invoice_2,jpg,lower_contrast,vendor_address,"72 Cedar Walk, Lumen City, CO 80014","72CedarWalk,LumenCity,CO80014",OCR character error,0.9295,LINE_ITEM_SUM_MISMATCH
INV-0027,INV-0027-image_jpg,invoice,invoice_2,jpg,lower_contrast,customer_name,Lisa Johnson,,label not detected,0.9295,LINE_ITEM_SUM_MISMATCH
INV-0027,INV-0027-image_jpg,invoice,invoice_2,jpg,lower_contrast,customer_address,"112 Phillip Terrace, South Carlos",,label not detected,0.9295,LINE_ITEM_SUM_MISMATCH
INV-0027,INV-0027-image_jpg,invoice,invoice_2,jpg,lower_contrast,line_items,3,1,row grouping,0.9295,LINE_ITEM_SUM_MISMATCH
INV-0031,INV-0031-image_jpg,invoice,invoice_1,jpg,slight_rotation,vendor_address,"18 Willow Loop, Alder Bay, OR 97001","18WillowLoop,AlderBay,OR97001",rotation,0.9516,
INV-0031,INV-0031-image_jpg,invoice,invoice_1,jpg,slight_rotation,customer_name,Emily Serrano,"Emily Serrano 5982CrystalPort,Bowmanbury Due:2025-10-27",rotation,0.9516,
INV-0031,INV-0031-image_jpg,invoice,invoice_1,jpg,slight_rotation,customer_address,"5982 Crystal Port, Bowmanbury",QTY PRICE AMOUNT,rotation,0.9516,
INV-0031,INV-0031-image_jpg,invoice,invoice_1,jpg,slight_rotation,subtotal,306.09,,label not detected,0.9516,
INV-0031,INV-0031-image_jpg,invoice,invoice_1,jpg,slight_rotation,line_items,4,3,row grouping,0.9516,
INV-0037,INV-0037-image_jpg,invoice,invoice_2,jpg,mild_shadow,customer_name,Gabrielle Gentry,Gabrielle Gentry Date:2025-05-24,OCR character error,0.9398,LINE_ITEM_SUM_MISMATCH
INV-0037,INV-0037-image_jpg,invoice,invoice_2,jpg,mild_shadow,customer_address,"84346 Jackson Road, Sarahaven","84346JacksonRoad, Sarahaven Due:2025-06-07",OCR character error,0.9398,LINE_ITEM_SUM_MISMATCH
INV-0037,INV-0037-image_jpg,invoice,invoice_2,jpg,mild_shadow,line_items,3,2,row grouping,0.9398,LINE_ITEM_SUM_MISMATCH
INV-0038,INV-0038-image_jpg,invoice,invoice_3,jpg,slight_rotation,vendor_address,"409 Harbor Lane, Fairhaven, ME 04032","409HarborLane,Fairhaven,ME04032",rotation,0.9382,
INV-0038,INV-0038-image_jpg,invoice,invoice_3,jpg,slight_rotation,customer_name,Philip Arnold,,label not detected,0.9382,
INV-0038,INV-0038-image_jpg,invoice,invoice_3,jpg,slight_rotation,customer_address,"4989 Crystal Harbor Apt. 271, Cantumouth",,label not detected,0.9382,
INV-0038,INV-0038-image_jpg,invoice,invoice_3,jpg,slight_rotation,subtotal,81.31,,label not detected,0.9382,
INV-0038,INV-0038-image_jpg,invoice,invoice_3,jpg,slight_rotation,line_items,3,1,row grouping,0.9382,
INV-0040,INV-0040-image_jpg,invoice,invoice_5,jpg,perspective,vendor_address,"260 Grove Avenue, Westvale, NY 10018","260GroveAvenue,Westvale,NY10018",perspective distortion,0.9438,LINE_ITEM_SUM_MISMATCH
INV-0040,INV-0040-image_jpg,invoice,invoice_5,jpg,perspective,customer_name,Teresa Jones,Teresa Jones Date:2025-10-01,perspective distortion,0.9438,LINE_ITEM_SUM_MISMATCH
INV-0040,INV-0040-image_jpg,invoice,invoice_5,jpg,perspective,customer_address,"3885 Michael Rue Apt. 488, West Matthew","3885MichaelRueApt.488,WestMatthew Due:2025-10-15",perspective distortion,0.9438,LINE_ITEM_SUM_MISMATCH
INV-0008,INV-0008-digital_pdf,invoice,invoice_3,digital_pdf,clean,line_items,4,0,row grouping,0.8756,NO_LINE_ITEMS_FOUND
INV-0002,INV-0002-image_png,invoice,invoice_2,png,light_noise,vendor_name,Juniper Office Works,Juniper OfficeWorks,OCR character error,0.9429,LINE_ITEM_SUM_MISMATCH
INV-0002,INV-0002-image_png,invoice,invoice_2,png,light_noise,vendor_address,"72 Cedar Walk, Lumen City, CO 80014","72CedarWalk,LumenCity,CO80014",OCR character error,0.9429,LINE_ITEM_SUM_MISMATCH
INV-0002,INV-0002-image_png,invoice,invoice_2,png,light_noise,customer_name,David Rodriguez,David Rodriguez Date:2025-04-25,OCR character error,0.9429,LINE_ITEM_SUM_MISMATCH
INV-0002,INV-0002-image_png,invoice,invoice_2,png,light_noise,customer_address,"81445 Alvin Canyon, Amandahaven","81445AlvinCanyon,Amandahaven Due:2025-06-09",OCR character error,0.9429,LINE_ITEM_SUM_MISMATCH
INV-0004,INV-0004-image_png,invoice,invoice_4,png,lower_contrast,vendor_name,Copper & Pine Studio,Copper &PineStudio,OCR character error,0.9444,LINE_ITEM_SUM_MISMATCH
