document_id,variant_id,file_name,document_type,extraction_method,ocr_confidence,structured_confidence,confidence_label,validation_status,processing_time_seconds,vendor_name,vendor_address,vendor_email,vendor_phone,customer_name,customer_address,invoice_number,invoice_date,due_date,currency,purchase_order,subtotal,tax_rate,tax_amount,discount,shipping,total_amount,payment_terms,merchant_name,merchant_address,merchant_phone,receipt_number,transaction_date,transaction_time,payment_method,last_four_digits,cashier
INV-0001,INV-0001-image_jpg,inv-0001_mild_blur.jpg,invoice,ocr,0.9897915478156486,0.9293,High,Review,0.0142,Northstar Paper Co.,"18WillowLoop,AlderBay，OR97001",,,,,NS-2025-10000,2025-01-24,2025-02-07,USD,,380.76,,31.41,,,412.17,,,,,,,,,,
INV-0003,INV-0003-image_jpg,inv-0003_slight_rotation.jpg,invoice,ocr,0.9946603459018771,0.9395,High,Passed,0.0106,Blue Finch Supplies,"409HarborLane,Fairhaven,ME04032",,,,,NS-2025-10002,2025-07-25,2025-08-24,USD,,,,59.99,,,787.12,,,,,,,,,,
INV-0005,INV-0005-image_jpg,inv-0005_perspective.jpg,invoice,ocr,0.9917841883893108,0.9436,High,Review,0.011,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,Melissa Carter Date:2025-05-08,"48862JillianSkywayApt.953,EastStephenchester Due:2025-06-22",NS-2025-10004,2025-05-08,2025-06-22,USD,,251.78,,12.59,,,264.37,,,,,,,,,,
INV-0006,INV-0006-image_jpg,inv-0006_lower_contrast.jpg,invoice,ocr,0.9846031547011508,0.9415,High,Review,0.0131,Northstar Paper Co.,"18WillowLoop,AlderBay，OR97001",,,No:NS-2025-10005,RyanWebster,NS-2025-10005,2025-10-01,2025-11-15,USD,,270.68,,13.53,,,284.21,,,,,,,,,,
INV-0007,INV-0007-image_jpg,inv-0007_jpeg_compression.jpg,invoice,ocr,0.9853541830214282,0.928,High,Review,0.0095,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,,,NS-2025-10006,2025-05-05,2025-05-19,USD,,121.22,,10.0,,,131.22,,,,,,,,,,
INV-0009,INV-0009-image_jpg,inv-0009_mild_shadow.jpg,invoice,ocr,0.9840520251122716,0.9413,High,Review,0.0093,Copper & Pine Studio,"11 Quartz Street, Bellmere, AZ 85004",,,No:NS-2025-10008,Taylor Brown,NS-2025-10008,2025-04-18,2025-05-02,USD,,249.16,,18.69,,,267.85,,,,,,,,,,
INV-0010,INV-0010-image_jpg,inv-0010_slight_rotation.jpg,invoice,ocr,0.9915648254812691,0.9386,High,Passed,0.0095,Maple Circuit Goods,"260GroveAvenue,Westvale,NY10018",,,,,NS-2025-10009,2025-05-29,2025-06-12,USD,,,,0.0,,,539.29,,,,,,,,,,
INV-0012,INV-0012-image_jpg,inv-0012_perspective.jpg,invoice,ocr,0.9887562783399036,0.9427,High,Review,0.0084,Juniper Office Works,"72CedarWalk,LumenCity,CO80014",,,JacquelineRoberts No:NS-2025-10011,"64355DanielInlet,EastChelsea Date:2025-06-13",NS-2025-10011,2025-06-13,2025-07-28,USD,,278.09,,20.86,,,298.95,,,,,,,,,,
INV-0014,INV-0014-image_jpg,inv-0014_jpeg_compression.jpg,invoice,ocr,0.9891508159309641,0.9291,High,Review,0.0094,Copper&PineStudio,"11QuartzStreet,Bellmere,AZ85004",,,,,NS-2025-10013,2025-09-26,2025-11-10,USD,,353.77,,17.69,,,371.46,,,,,,,,,,
INV-0016,INV-0016-image_jpg,inv-0016_mild_shadow.jpg,invoice,ocr,0.983085125355891,0.941,High,Review,0.0091,Northstar PaperCo.,"18Wilw Loop,AlderBay.OR 97001",,,No:NS-2025-10015,Tricia Fisher,NS-2025-10015,2025-01-02,2025-01-16,USD,,448.62,,37.01,,,485.63,,,,,,,,,,
